@relation 179211L2_2

@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}
@attribute kwota_kredytu real
@attribute wiek real
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie real
@attribute okres_w_jakim_pobieral_dochod real
@attribute okres_w_jakim_bedzie_pobieral_dochod real
@attribute opoznienie_splaty real

@data
splacona_cz,200,68,kobieta,13,803.86,6,159.0472279,48,2
splacona_cz,530,62,kobieta,13,1691.3,2,75.03285421,48,7
splacona,200,41,kobieta,11,1000,1,63.03285421,48,10
splacona_cz,500,55,kobieta,16,2300,7,64.08008214,48,0
splacona_cz,400,50,kobieta,12,1000,6,34.03285421,34.98562628,0
splacona_cz,400,60,mezczyzna,12,1000,6,14.03285421,14.6899384,0
splacona,600,27,kobieta,11,2100,1,24.21149897,48,0
splacona_cz,200,54,kobieta,11,1400,6,118.4414784,48,0
splacona_cz,500,50,mezczyzna,16,2150,0,83.06570842,48,0
splacona,618.26,65,mezczyzna,13,3040,2,202.9671458,48,2
windykacja_sp,500,67,kobieta,13,815,1,146.0657084,48,266
splacona,300,77,kobieta,13,1300,3,195.0657084,48,2
splacona_cz,300,55,kobieta,11,2800,1,11.06570842,48,1
splacona_cz,300,46,kobieta,11,900,6,95.13141684,48,7
splacona_cz,278.98,38,kobieta,98,1200,6,47.60574949,48,5
splacona_cz,400,60,kobieta,13,1107,0,16.70431211,48,0
splacona_cz,200,62,mezczyzna,13,1162,6,223.0328542,48,0
splacona_cz,500,62,kobieta,13,1900,0,90.13141684,48,0
splacona_cz,300,70,mezczyzna,13,1420,0,54.50718686,48,7
splacona_cz,272.78,59,kobieta,13,1658,6,31.13141684,48,0
splacona_cz,700,61,kobieta,13,2066,6,131.1314168,48,6
splacona_cz,300,54,kobieta,16,1500,1,3.540041068,48,1
splacona,512,61,mezczyzna,13,1500,6,25.13141684,48,15
splacona_cz,200,60,kobieta,13,1635,6,121.7043121,48,0
splacona_cz,800,55,kobieta,13,3440,6,53.13141684,48,0
splacona_cz,1000,41,kobieta,98,6000,2,19.13141684,48,0
splacona_cz,774.28,33,kobieta,11,2200,2,39.13141684,48,0
splacona,300,54,kobieta,11,2800,6,61.60574949,48,0
splacona_cz,974.28,73,kobieta,13,2100,5,57.16427105,48,4
splacona_cz,400,60,kobieta,16,1411,3,68.16427105,48,4
splacona,399.66,39,kobieta,11,1239.05,3,206.164271,48,13
splacona_cz,996,47,mezczyzna,11,2500,2,205.7700205,48,5
splacona_cz,438.12,35,mezczyzna,11,1850,1,57.16427105,48,7
odmowa,500,18,mezczyzna,99,1225,0,3.901437372,14.72279261,0
windykacja,300,67,mezczyzna,13,1573,1,90.57289528,48,479
splacona_cz,300,55,kobieta,16,2300,0,64.21149897,48,0
windykacja_sp,1000,60,kobieta,11,2670,5,90.16427105,48,182
splacona_cz,600,51,kobieta,11,3200,6,55.67145791,48,11
splacona_cz,450,59,kobieta,13,1650,0,117.1971253,48,0
splacona,282.57,71,mezczyzna,13,1772.53,3,282.1971253,48,12
splacona_cz,300,70,kobieta,13,1000,3,66.19712526,48,2
splacona_cz,200,43,mezczyzna,11,2284.23,1,301.2443532,48,3
splacona_cz,1000,57,kobieta,13,1530,0,26.67145791,48,2
splacona_cz,975.25,62,mezczyzna,13,2474,1,17.06570842,48,2
splacona_cz,299.72,62,kobieta,13,714,7,224.1971253,48,0
splacona_cz,400,58,kobieta,11,1500,5,87.19712526,48,2
splacona_cz,200,45,kobieta,11,1344.9,5,47.80287474,48,7
splacona,500,49,kobieta,11,2500,2,235.1971253,48,2
splacona_cz,200,31,kobieta,12,1865,3,21.96714579,22.72279261,2
splacona_cz,300,71,mezczyzna,13,562,2,83.22997947,48,3
splacona,324.56,61,kobieta,13,1170,5,80.22997947,48,0
splacona,350,61,mezczyzna,16,837,5,233.2299795,48,4
splacona_cz,460,65,kobieta,13,1013.74,6,115.2299795,48,2
odmowa,800,59,kobieta,13,1208,0,26.80287474,48,0
splacona_cz,500,60,kobieta,13,1212,6,55.86858316,48,2
splacona,200,31,mezczyzna,98,2000,0,16.13141684,48,0
splacona,200,60,kobieta,16,684.64,0,343.2299795,48,2
splacona,300,43,kobieta,11,1738.57,1,59.22997947,48,0
windykacja,600,78,mezczyzna,13,1519,0,255.7371663,48,477
windykacja_sp,292.28,60,kobieta,13,936,4,33.22997947,48,244
splacona,399.72,54,kobieta,11,2368.57,0,412.2299795,48,12
windykacja,200,65,kobieta,13,670,2,68.26283368,48,475
splacona_cz,1000,65,kobieta,13,930,0,132.7371663,48,1
splacona_cz,600,65,kobieta,16,892,0,202.8028747,48,0
splacona_cz,700,68,kobieta,16,980,0,132.5400411,48,7
splacona_cz,300,68,kobieta,13,1027,2,194.2628337,48,0
splacona_cz,600,72,kobieta,13,640,0,140.3429158,48,0
splacona_cz,400,62,kobieta,16,2084.79,0,143.2628337,48,0
splacona_cz,315.12,73,mezczyzna,13,960,6,141.835729,48,1
splacona_cz,667.77,63,kobieta,13,930,3,95.83572895,48,0
splacona_cz,299.28,63,kobieta,16,1389,1,93.26283368,48,1
splacona_cz,400,64,kobieta,13,840,4,115.2628337,48,2
splacona_cz,265.58,62,kobieta,13,1189,6,71.57289528,48,1
splacona_cz,200,67,kobieta,13,720.19,4,95.26283368,48,0
odmowa,200,68,kobieta,13,2120,0,120.9342916,48,0
splacona_cz,400,63,kobieta,13,917,0,78.26283368,48,7
odmowa,500,54,mezczyzna,11,1800,0,143.2628337,48,0
splacona_cz,500,63,kobieta,13,3251,0,140.1314168,48,0
splacona_cz,300,40,kobieta,12,1896,0,15.09856263,16.82135524,1
splacona_cz,900,58,kobieta,17,684,6,191.7043121,48,1
splacona,575.64,52,mezczyzna,11,3200,6,191.2628337,48,0
splacona_cz,400,59,mezczyzna,11,2000,1,71.34291581,48,8
splacona_cz,200,61,kobieta,13,975,6,29.29568789,48,1
splacona_cz,200,55,mezczyzna,11,1460.17,3,63.06570842,48,1
splacona_cz,400,70,kobieta,13,729.03,7,259.2956879,48,0
splacona_cz,500,53,mezczyzna,11,1320,6,344.2956879,48,2
splacona_cz,235.97,65,mezczyzna,12,1100,6,24.16427105,35.96714579,8
splacona_cz,200,61,kobieta,13,997,6,81.29568789,48,1
splacona,400,41,mezczyzna,11,1800,0,107.2956879,48,213
splacona_cz,282.28,48,mezczyzna,11,1600,0,344.2956879,48,3
splacona_cz,300,39,kobieta,12,1027,6,10.3100616,59.96714579,1
splacona_cz,500,47,mezczyzna,12,600,7,11.16427105,27.13141684,1
splacona,200,37,kobieta,12,599.03,5,21.29568789,21.95277207,9
splacona_cz,289.72,54,kobieta,16,1045.6,7,14.29568789,48,1
splacona,400,66,kobieta,13,1137.19,6,98.3613963,48,1
splacona_cz,430,38,mezczyzna,11,2470,3,68.22997947,48,5
splacona_cz,300,66,mezczyzna,13,2110,0,103.3613963,48,5
splacona_cz,300,54,kobieta,17,864.6,0,4.361396304,7.887063655,0
splacona,400,53,kobieta,13,1213,1,51.86858316,48,14
odmowa,500,75,kobieta,13,1253,0,240.3613963,48,0
windykacja,200,57,kobieta,11,983.97,0,80.26283368,48,473
splacona_cz,550,54,kobieta,12,1675,6,11.3613963,11.98562628,1
splacona,500,77,mezczyzna,13,2609,0,193.0985626,48,0
splacona,400,60,kobieta,13,1425,0,81.3613963,48,0
splacona_cz,465.37,35,kobieta,98,4000,6,20.6386037,48,2
splacona_cz,530,32,mezczyzna,11,2050,1,119.9671458,48,5
splacona_cz,300,33,mezczyzna,11,1800,6,167.3613963,48,0
splacona_cz,400,54,kobieta,12,1000,0,47.09856263,69.22997947,1
windykacja_sp,292.28,58,kobieta,13,1244.77,0,41.3613963,48,294
splacona_cz,600,55,kobieta,12,1350,0,24.3613963,24.98562628,1
splacona_cz,200,31,mezczyzna,11,2000,0,7.098562628,48,0
splacona_cz,1000,47,kobieta,11,5800,6,56.3613963,48,3
odmowa,500,48,kobieta,11,1414,0,9.394250513,48,0
splacona_cz,248.57,65,mezczyzna,13,1559,1,73.39425051,48,1
splacona_cz,600,72,kobieta,13,2534,0,129.0657084,48,0
odmowa,200,29,kobieta,16,387,0,11.39425051,48,0
splacona_cz,200,72,kobieta,13,730,5,562.835729,48,1
splacona_cz,500,52,mezczyzna,11,2011,0,213.3942505,48,7
splacona_cz,693.7,38,kobieta,11,1900,2,209.5400411,48,5
splacona_cz,400,34,kobieta,11,980.11,3,46.90143737,48,0
windykacja,300,52,mezczyzna,12,1210,0,9.427104723,9.985626283,471
splacona_cz,282.68,52,kobieta,12,1050,5,35.44147844,36,0
splacona,200,52,kobieta,99,598,0,4.572895277,6.131416838,0
splacona_cz,300,43,kobieta,11,1400,0,27.19712526,48,0
windykacja_sp,470,69,kobieta,13,1800,1,119.4271047,48,14
windykacja,400,57,mezczyzna,12,1650,0,3.427104723,26.95277207,471
splacona_cz,300,49,mezczyzna,13,3900,7,32.42710472,48,0
splacona_cz,500,50,mezczyzna,11,2400,0,254.4271047,48,0
splacona_cz,400,53,mezczyzna,11,4000,7,12.39425051,48,4
splacona_cz,300,73,kobieta,13,1412,0,206.2299795,48,0
splacona_cz,200,56,kobieta,11,1172.2,6,39.42710472,48,3
splacona,300,71,mezczyzna,13,1295.37,2,309.4271047,48,0
splacona_cz,300,35,kobieta,12,1200,6,11,14.55852156,0
splacona,200,72,mezczyzna,13,1700,1,16.42710472,48,14
splacona_cz,500,72,mezczyzna,13,1700,6,16.42710472,48,8
splacona_cz,437.15,61,kobieta,13,1362,6,58.42710472,48,3
