@relation '179211L2_2-weka.filters.unsupervised.attribute.Reorder-R2-10,1'

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobieral_dochod numeric
@attribute okres_w_jakim_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric
@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}

@data
200,68,kobieta,13,803.86,6,159.047228,48,2,splacona_cz
530,62,kobieta,13,1691.3,2,75.032854,48,7,splacona_cz
200,41,kobieta,11,1000,1,63.032854,48,10,splacona
500,55,kobieta,16,2300,7,64.080082,48,0,splacona_cz
400,50,kobieta,12,1000,6,34.032854,34.985626,0,splacona_cz
400,60,mezczyzna,12,1000,6,14.032854,14.689938,0,splacona_cz
600,27,kobieta,11,2100,1,24.211499,48,0,splacona
200,54,kobieta,11,1400,6,118.441478,48,0,splacona_cz
500,50,mezczyzna,16,2150,0,83.065708,48,0,splacona_cz
618.26,65,mezczyzna,13,3040,2,202.967146,48,2,splacona
500,67,kobieta,13,815,1,146.065708,48,266,windykacja_sp
300,77,kobieta,13,1300,3,195.065708,48,2,splacona
300,55,kobieta,11,2800,1,11.065708,48,1,splacona_cz
300,46,kobieta,11,900,6,95.131417,48,7,splacona_cz
278.98,38,kobieta,98,1200,6,47.605749,48,5,splacona_cz
400,60,kobieta,13,1107,0,16.704312,48,0,splacona_cz
200,62,mezczyzna,13,1162,6,223.032854,48,0,splacona_cz
500,62,kobieta,13,1900,0,90.131417,48,0,splacona_cz
300,70,mezczyzna,13,1420,0,54.507187,48,7,splacona_cz
272.78,59,kobieta,13,1658,6,31.131417,48,0,splacona_cz
700,61,kobieta,13,2066,6,131.131417,48,6,splacona_cz
300,54,kobieta,16,1500,1,3.540041,48,1,splacona_cz
512,61,mezczyzna,13,1500,6,25.131417,48,15,splacona
200,60,kobieta,13,1635,6,121.704312,48,0,splacona_cz
800,55,kobieta,13,3440,6,53.131417,48,0,splacona_cz
1000,41,kobieta,98,6000,2,19.131417,48,0,splacona_cz
774.28,33,kobieta,11,2200,2,39.131417,48,0,splacona_cz
300,54,kobieta,11,2800,6,61.605749,48,0,splacona
974.28,73,kobieta,13,2100,5,57.164271,48,4,splacona_cz
400,60,kobieta,16,1411,3,68.164271,48,4,splacona_cz
399.66,39,kobieta,11,1239.05,3,206.164271,48,13,splacona
996,47,mezczyzna,11,2500,2,205.770021,48,5,splacona_cz
438.12,35,mezczyzna,11,1850,1,57.164271,48,7,splacona_cz
500,18,mezczyzna,99,1225,0,3.901437,14.722793,0,odmowa
300,67,mezczyzna,13,1573,1,90.572895,48,479,windykacja
300,55,kobieta,16,2300,0,64.211499,48,0,splacona_cz
1000,60,kobieta,11,2670,5,90.164271,48,182,windykacja_sp
600,51,kobieta,11,3200,6,55.671458,48,11,splacona_cz
450,59,kobieta,13,1650,0,117.197125,48,0,splacona_cz
282.57,71,mezczyzna,13,1772.53,3,282.197125,48,12,splacona
300,70,kobieta,13,1000,3,66.197125,48,2,splacona_cz
200,43,mezczyzna,11,2284.23,1,301.244353,48,3,splacona_cz
1000,57,kobieta,13,1530,0,26.671458,48,2,splacona_cz
975.25,62,mezczyzna,13,2474,1,17.065708,48,2,splacona_cz
299.72,62,kobieta,13,714,7,224.197125,48,0,splacona_cz
400,58,kobieta,11,1500,5,87.197125,48,2,splacona_cz
200,45,kobieta,11,1344.9,5,47.802875,48,7,splacona_cz
500,49,kobieta,11,2500,2,235.197125,48,2,splacona
200,31,kobieta,12,1865,3,21.967146,22.722793,2,splacona_cz
300,71,mezczyzna,13,562,2,83.229979,48,3,splacona_cz
324.56,61,kobieta,13,1170,5,80.229979,48,0,splacona
350,61,mezczyzna,16,837,5,233.22998,48,4,splacona
460,65,kobieta,13,1013.74,6,115.22998,48,2,splacona_cz
800,59,kobieta,13,1208,0,26.802875,48,0,odmowa
500,60,kobieta,13,1212,6,55.868583,48,2,splacona_cz
200,31,mezczyzna,98,2000,0,16.131417,48,0,splacona
200,60,kobieta,16,684.64,0,343.22998,48,2,splacona
300,43,kobieta,11,1738.57,1,59.229979,48,0,splacona
600,78,mezczyzna,13,1519,0,255.737166,48,477,windykacja
292.28,60,kobieta,13,936,4,33.229979,48,244,windykacja_sp
399.72,54,kobieta,11,2368.57,0,412.22998,48,12,splacona
200,65,kobieta,13,670,2,68.262834,48,475,windykacja
1000,65,kobieta,13,930,0,132.737166,48,1,splacona_cz
600,65,kobieta,16,892,0,202.802875,48,0,splacona_cz
700,68,kobieta,16,980,0,132.540041,48,7,splacona_cz
300,68,kobieta,13,1027,2,194.262834,48,0,splacona_cz
600,72,kobieta,13,640,0,140.342916,48,0,splacona_cz
400,62,kobieta,16,2084.79,0,143.262834,48,0,splacona_cz
315.12,73,mezczyzna,13,960,6,141.835729,48,1,splacona_cz
667.77,63,kobieta,13,930,3,95.835729,48,0,splacona_cz
299.28,63,kobieta,16,1389,1,93.262834,48,1,splacona_cz
400,64,kobieta,13,840,4,115.262834,48,2,splacona_cz
265.58,62,kobieta,13,1189,6,71.572895,48,1,splacona_cz
200,67,kobieta,13,720.19,4,95.262834,48,0,splacona_cz
200,68,kobieta,13,2120,0,120.934292,48,0,odmowa
400,63,kobieta,13,917,0,78.262834,48,7,splacona_cz
500,54,mezczyzna,11,1800,0,143.262834,48,0,odmowa
500,63,kobieta,13,3251,0,140.131417,48,0,splacona_cz
300,40,kobieta,12,1896,0,15.098563,16.821355,1,splacona_cz
900,58,kobieta,17,684,6,191.704312,48,1,splacona_cz
575.64,52,mezczyzna,11,3200,6,191.262834,48,0,splacona
400,59,mezczyzna,11,2000,1,71.342916,48,8,splacona_cz
200,61,kobieta,13,975,6,29.295688,48,1,splacona_cz
200,55,mezczyzna,11,1460.17,3,63.065708,48,1,splacona_cz
400,70,kobieta,13,729.03,7,259.295688,48,0,splacona_cz
500,53,mezczyzna,11,1320,6,344.295688,48,2,splacona_cz
235.97,65,mezczyzna,12,1100,6,24.164271,35.967146,8,splacona_cz
200,61,kobieta,13,997,6,81.295688,48,1,splacona_cz
400,41,mezczyzna,11,1800,0,107.295688,48,213,splacona
282.28,48,mezczyzna,11,1600,0,344.295688,48,3,splacona_cz
300,39,kobieta,12,1027,6,10.310062,59.967146,1,splacona_cz
500,47,mezczyzna,12,600,7,11.164271,27.131417,1,splacona_cz
200,37,kobieta,12,599.03,5,21.295688,21.952772,9,splacona
289.72,54,kobieta,16,1045.6,7,14.295688,48,1,splacona_cz
400,66,kobieta,13,1137.19,6,98.361396,48,1,splacona
430,38,mezczyzna,11,2470,3,68.229979,48,5,splacona_cz
300,66,mezczyzna,13,2110,0,103.361396,48,5,splacona_cz
300,54,kobieta,17,864.6,0,4.361396,7.887064,0,splacona_cz
400,53,kobieta,13,1213,1,51.868583,48,14,splacona
500,75,kobieta,13,1253,0,240.361396,48,0,odmowa
200,57,kobieta,11,983.97,0,80.262834,48,473,windykacja
550,54,kobieta,12,1675,6,11.361396,11.985626,1,splacona_cz
500,77,mezczyzna,13,2609,0,193.098563,48,0,splacona
400,60,kobieta,13,1425,0,81.361396,48,0,splacona
465.37,35,kobieta,98,4000,6,20.638604,48,2,splacona_cz
530,32,mezczyzna,11,2050,1,119.967146,48,5,splacona_cz
300,33,mezczyzna,11,1800,6,167.361396,48,0,splacona_cz
400,54,kobieta,12,1000,0,47.098563,69.229979,1,splacona_cz
292.28,58,kobieta,13,1244.77,0,41.361396,48,294,windykacja_sp
600,55,kobieta,12,1350,0,24.361396,24.985626,1,splacona_cz
200,31,mezczyzna,11,2000,0,7.098563,48,0,splacona_cz
1000,47,kobieta,11,5800,6,56.361396,48,3,splacona_cz
500,48,kobieta,11,1414,0,9.394251,48,0,odmowa
248.57,65,mezczyzna,13,1559,1,73.394251,48,1,splacona_cz
600,72,kobieta,13,2534,0,129.065708,48,0,splacona_cz
200,29,kobieta,16,387,0,11.394251,48,0,odmowa
200,72,kobieta,13,730,5,562.835729,48,1,splacona_cz
500,52,mezczyzna,11,2011,0,213.394251,48,7,splacona_cz
693.7,38,kobieta,11,1900,2,209.540041,48,5,splacona_cz
400,34,kobieta,11,980.11,3,46.901437,48,0,splacona_cz
300,52,mezczyzna,12,1210,0,9.427105,9.985626,471,windykacja
282.68,52,kobieta,12,1050,5,35.441478,36,0,splacona_cz
200,52,kobieta,99,598,0,4.572895,6.131417,0,splacona
300,43,kobieta,11,1400,0,27.197125,48,0,splacona_cz
470,69,kobieta,13,1800,1,119.427105,48,14,windykacja_sp
400,57,mezczyzna,12,1650,0,3.427105,26.952772,471,windykacja
300,49,mezczyzna,13,3900,7,32.427105,48,0,splacona_cz
500,50,mezczyzna,11,2400,0,254.427105,48,0,splacona_cz
400,53,mezczyzna,11,4000,7,12.394251,48,4,splacona_cz
300,73,kobieta,13,1412,0,206.22998,48,0,splacona_cz
200,56,kobieta,11,1172.2,6,39.427105,48,3,splacona_cz
300,71,mezczyzna,13,1295.37,2,309.427105,48,0,splacona
300,35,kobieta,12,1200,6,11,14.558522,0,splacona_cz
200,72,mezczyzna,13,1700,1,16.427105,48,14,splacona
500,72,mezczyzna,13,1700,6,16.427105,48,8,splacona_cz
437.15,61,kobieta,13,1362,6,58.427105,48,3,splacona_cz
537.15,62,kobieta,13,962,2,67.459959,48,3,splacona_cz
242.28,65,kobieta,13,1350,5,113.295688,48,0,splacona_cz
300,70,kobieta,13,729.03,0,259.459959,48,0,splacona_cz
500,47,mezczyzna,13,864.34,1,158.459959,48,2,splacona_cz
200,69,kobieta,16,959.6,6,117.459959,48,0,splacona_cz
300,45,mezczyzna,12,1037.34,0,127.361396,48,0,odmowa
401.3,47,mezczyzna,12,1574.45,0,33.459959,35.887064,10,splacona
600,49,kobieta,11,2800,6,320.60575,48,10,splacona
400,56,mezczyzna,11,1842.86,5,9.671458,48,3,splacona_cz
879.43,35,mezczyzna,12,1500,3,35.361396,35.887064,14,splacona_cz
326.78,40,mezczyzna,11,1261.98,6,38.459959,48,10,splacona
700,48,kobieta,98,1357,0,3.459959,48,470,windykacja
200,20,mezczyzna,17,985,7,15.459959,17.722793,3,splacona_cz
300,57,kobieta,13,611,5,141.197125,48,0,splacona_cz
500,75,kobieta,13,1248,0,252.492813,48,0,splacona_cz
500,60,kobieta,13,1000,6,70.032854,48,0,splacona_cz
300,50,mezczyzna,12,1000,4,45.197125,62.361396,0,splacona_cz
202.28,60,mezczyzna,11,3000,7,214.492813,48,0,splacona_cz
292.28,78,kobieta,13,1239.98,4,257.492813,48,0,splacona_cz
400,54,mezczyzna,11,1300,0,36.492813,48,4,splacona_cz
423.23,31,mezczyzna,11,2700,6,17.427105,48,14,splacona_cz
600,43,kobieta,11,1443,1,35.507187,48,1,splacona_cz
400,54,kobieta,12,1700,7,56.967146,48,0,splacona_cz
200,57,mezczyzna,11,1800,0,162.638604,48,0,splacona_cz
204.78,29,mezczyzna,11,1888.27,1,79.427105,48,8,splacona_cz
500,58,mezczyzna,13,740,0,253.525667,48,0,odmowa
200,75,kobieta,13,616,6,248.525667,48,1,splacona_cz
600,45,mezczyzna,12,3500,1,188.737166,48,2,splacona_cz
500,61,kobieta,13,955,0,3.591376,48,0,odmowa
600,61,kobieta,13,1050,7,141.591376,48,0,splacona_cz
200,71,kobieta,13,722.05,6,199.591376,48,1,splacona_cz
900,26,kobieta,11,1440,0,24.591376,48,0,odmowa
800,57,mezczyzna,12,2500,5,6.737166,10.131417,1,splacona_cz
600,32,kobieta,11,1290,6,21.591376,48,6,splacona_cz
360.31,38,kobieta,11,2927,5,203.591376,48,2,splacona_cz
200,61,kobieta,13,1440,0,156.62423,48,0,odmowa
300,66,kobieta,13,1428.55,0,139.394251,48,0,splacona_cz
300,29,mezczyzna,11,1590,1,55.591376,48,7,splacona_cz
700,47,kobieta,12,830.46,5,47.525667,71.887064,0,splacona_cz
563.44,68,mezczyzna,13,2000,1,46.934292,48,285,windykacja_sp
2000,57,mezczyzna,98,20000,0,132.62423,48,12,splacona_cz
300,79,kobieta,13,1442.43,2,143.62423,48,0,splacona
200,72,kobieta,13,785,3,66.62423,48,0,splacona_cz
200,27,mezczyzna,12,1400,1,3,3.37577,0,splacona_cz
500,58,mezczyzna,16,1770,7,91.62423,48,0,splacona_cz
400,72,mezczyzna,13,1870,2,87.62423,48,2,splacona_cz
400,59,kobieta,12,1320,0,11.62423,35,2,splacona_cz
300,36,kobieta,11,1228,0,36.065708,48,4,splacona
500,70,kobieta,13,1200,6,121.361396,48,7,splacona_cz
200,70,kobieta,13,1200,0,121.361396,48,7,splacona_cz
400,51,mezczyzna,11,1800,3,261.62423,48,0,splacona_cz
200,26,kobieta,12,1100,3,17.62423,17.985626,4,splacona_cz
300,26,kobieta,11,2300,0,24.62423,48,0,splacona
300,53,mezczyzna,11,1300,0,454.361396,48,0,splacona
290.88,61,kobieta,13,1090.14,6,77.62423,48,5,splacona_cz
830,61,kobieta,13,1977,4,56.901437,48,465,windykacja
500,47,mezczyzna,13,1500,1,88.361396,48,6,splacona_cz
300,75,kobieta,13,1000,0,213.657084,48,0,splacona_cz
600,54,kobieta,11,1300,1,70.459959,48,13,splacona
300,63,kobieta,13,1014,1,185.262834,48,6,splacona_cz
200,31,kobieta,12,1032.34,6,6.934292,11.229979,464,windykacja
437.15,62,kobieta,13,820,1,33.591376,48,0,splacona_cz
400,21,mezczyzna,99,1500,0,5.657084,7,0,splacona
600,53,kobieta,11,1700,0,207.657084,48,0,splacona
200,46,mezczyzna,99,1400,0,18.657084,19.985626,0,splacona
345.97,54,kobieta,11,1721.7,7,122.657084,48,0,splacona_cz
400,49,kobieta,11,1764,0,66.558522,48,0,splacona_cz
314.15,35,kobieta,11,2709.34,7,183.689938,48,0,splacona_cz
200,61,kobieta,13,992.96,3,14.229979,48,0,splacona_cz
350,73,kobieta,11,1348.95,1,116.197125,48,10,splacona
1000,57,mezczyzna,13,3600,1,88.689938,48,0,splacona_cz
400,44,mezczyzna,11,3300,0,239,48,2,splacona_cz
300,52,kobieta,16,685,0,43.657084,48,298,windykacja_sp
300,60,kobieta,13,810,7,35.361396,48,0,splacona_cz
1000,45,mezczyzna,11,2700,0,17.689938,48,0,odmowa
300,37,kobieta,12,1382,0,23.689938,23.985626,0,splacona_cz
400,20,mezczyzna,12,1000,0,11.689938,47.985626,0,odmowa
300,57,kobieta,11,1680,6,387.689938,48,4,splacona_cz
350,58,kobieta,13,1500,0,48.689938,48,4,splacona
500,58,kobieta,13,1240,3,72.394251,48,0,splacona
300,25,kobieta,11,1600,0,54.525667,48,243,windykacja_sp
